company,article-count
abbots-butcher,1
adidas,1
albert-heijn,1
aldi,2
algiknit,1
allplants,4
alpha-foods,2
amyris,1
animal-hero-kids,1
anuga,1
apeel-sciences,1
armani,1
art-of-the-burger,1
bbc,3
beanit,1
bel-brands-usa,2
believer-meats,1
ben-and-jerrys,1
better-nature,2
better-than,1
beyond-meat,20
biocraft-pet-nutrition,1
birds-eye,2
blackstone-group,1
bloomberg,3
blue-horizon,1
bosh,1
brave-robot,1
bravura,1
bravura-foods,1
burger-king,7
business-insider,1
by-chloe,1
cauldron-foods,1
channel-4,4
clean-kitchen-club,1
compassion-in-world-farming,1
conagra,1
copper-branch,1
crafty-counter,1
crave,2
creative-compass,1
cultivated-x,1
daily-harvest,1
daiya,3
danone,3
daring-foods,3
david,1
dr-praegers,1
dragons-den,2
dtc,2
dunkin,3
dunkin-donuts,1
eat-differently,1
eat-just,5
eat-the-change,1
eatplanted,4
eu-commission,1
everland,1
fenty,1
fft,1
fiapo,1
flora,1
food-harbour,1
foods-united-inc,1
footprint-coalition,1
forbes,2
forest-green-rovers,1
frida-rome,1
frys-family-foods,2
fundacion-veg-formerly-vegetarianos-hoy,1
future-farm-fazenda-futuro,2
future-food-tech,1
futurevvorld,1
gardein,1
gathered-foods,1
glebe-farm-foods,1
global-data,1
good-catch,2
green-cuisine,2
greenleaf-foods,2
greggs,2
grounded-foods,1
gucci,1
happiee,1
heinz,1
herta,1
heura,6
higher-steaks,1
hownd,1
iglo,2
imagine-meats,1
impossible-foods,12
ingredion,2
instagram,2
internorga,1
jbs,1
just-egg,6
katjes,3
kelloggs,1
kerry,1
kfc,2
kind-heroes,2
kraft-heinz,1
kroger,4
la-vie,4
la-vie-foods,3
lallemand,1
les-nouveaux-affineurs,1
lidl,1
lightlife,6
likemeat,3
lincoln-university,1
livekindly,3
lizza,1
lord-sugar,1
loveraw,2
lush,1
lush-cosmetics,1
maple-leaf-foods,1
matthew-kenney-cuisine,1
matthew-kenney-popup-restaurants,1
mcdonalds,1
mcplant,1
meati,1
meatless-farm,6
memphis-meats,1
mercedes,1
million-dollar-vegan,2
ministry-of-mylk,2
miyokos-creamery,1
moobys,1
mooncup,1
morningstar-farms,1
moving-mountains,1
mrs-goldfarbs-unreal-deli,1
myforest-foods,1
naked-glory,1
nasoya,1
naturli,1
neat,1
nestle,2
new-age-meats,1
new-food-hub,1
new-york-times,2
newform-foods,1
next-gen-foods,1
next-level,1
nextmilk,1
nfh,4
nobell-foods,1
notco,3
nuggs,1
nurishh,2
oatly,8
ocean-hugger-foods,1
olala,1
omnifoods,3
omnipork,2
one-planet-pizza,4
oshi,1
oumph,3
outstanding-foods,1
ozo,1
peets-coffee,1
peta,7
phw,1
piers-morgan,3
pink-floyd,2
pinky-cole,1
plant-based-business-podcast,2
plant-based-foods-association-pbfa,1
plant-based-world-expo-pbw,1
plant-power-fast-food,1
planted,1
planteneers,1
plantx,1
plnt-burger,2
prime-roots,1
proveg,14
proveg-international,7
pulmuone-usa,1
quorn,4
ritter-sport,1
ruegenwalder-muehle,2
sainsburys,1
scifi-foods,1
sevenventures,1
shark-tank,2
silk,5
sodexo,1
spero,1
squeaky-bean,1
starbucks,1
steakholder-foods,1
strong-roots,2
swizzels,1
target,1
tesco,1
the-freedom-food-alliance,2
the-game-changers,1
the-good-food-institute-gfi,1
the-lancet,1
the-vegan-filter,1
the-vegan-society,2
the-vegankind,1
the-vegetarian-butcher,5
the-very-good-food-company,2
the-wild-party-podcast,1
this,2
tindle,1
tindle-foods,1
transparency-market-research,1
umami-bioworks,1
unchainedtv,1
unilever,2
unlimeat,1
unreal-deli,1
update-by-vegconomist,3
upfield,2
vegan-fried-chicken,6
vegan-friendly,1
vegan-trademark,1
vegan-women-summit,3
vegan-zeastar,1
veganuary,11
vegconomist,8
vegeat,1
veggieworld,1
verdient-foods,2
verdino-green-foods,1
vevolution,3
violife,5
viva,2
vivera,2
waitrose,1
whole-foods,1
wicked-kitchen,1
wild-earth,1
wildwood,1
wundereggs,1
youtube,4
zikooin,1
